,,,,,
🥇 Principles,1-liner,,,,
🦍 Absolute strength,Build your baseline strength,,,,Baseline strength
🏋🏻 Impulse,Build power generation,,,,Acceleration + coordination (medium)
🏎️ Plyometrics,Fast twitch muscle fibers + CNS,,,,Acceleration + coordination (light)
🛡️Bullet proof,Address muscle weaknesses,,,,Injury prevention
🧘🏻 Flexibility,Strength in range of motion,,,,Injury prevention
,,,,,
,,,,,
🔨 Exercise List,,,,,
,Category,What it works,Notes,Links,
🦍 Absolute strength,,,,,
Bench press,🦍 Absolute strength,Push,,,
Pull-up - weighted,🦍 Absolute strength,Pull,,,
Seated row ,🦍 Absolute strength,Pull,,,
Dips - weighted,🦍 Absolute strength,Push,,,
Push press,🦍 Absolute strength,Push,,,
,,,,,
🏋🏻 Impulse,,,,,
"Behind the neck, push press",🏋🏻 Impulse,,Use light weight to start ,,
Benchpress - unbroken,🏋🏻 Impulse,,Use a pad on your chest,,
Drop rows,🏋🏻 Impulse,,"Chest against bench, drop weight row",,
Med ball push,🏋🏻 Impulse,,Explosive med ball push,,
Explosive push-up / dip / pull-up,🏋🏻 Impulse,,Speed,,
,,,,,
🦾 Accessory,,,,,
DB shoulder press,🦾 Accessory,Shoulders,,"https://www.youtube.com/watch?v=jIngqODw8x4
https://www.youtube.com/watch?v=6NCN6kOagfY&t=70s",
DB shoulder raise,🦾 Accessory,Shoulders,,,
Ropes,🦾 Accessory,Shoulders,,,
DB bent-over row,🦾 Accessory,Back,,,
Curls,🦾 Accessory,Biceps,,,
,,,,,
🛡️Bullet proof,,,,,
Reverse Sled,,Knee health,,https://www.youtube.com/watch?v=-xmtgMrZrqU (best video),Knee health
Poliquin Step up,,Knee health,,,Knee health
Sissy Squat,,Knee health,,,Knee health
Pistol squat ,,,"Slow eccentric, heavy resistance on down ",,
,,,,,
🏎️ Plyometrics,,,,,
Run + max height jump,🏎️ Plyometrics,Max power,,,
Weighted squat jump,🏎️ Plyometrics,Max power,,,
Broad jumps,🏎️ Plyometrics,Max power,,,
Box jump,🏎️ Plyometrics,Max power,Box just stimulates the height,,
Step-up jump,🏎️ Plyometrics,Max power,Step up on a box then jump,,
Seated jump,🏎️ Plyometrics,Max power,"Start sitting, then jump up",,
Sprints,🏎️ Plyometrics,Max power,,,
,,,,,
Single leg skips / bounds,🏎️ Plyometrics,Twitchiness + Reactivity,Jog and layup,,
Rhythmic jumps,🏎️ Plyometrics,Twitchiness + Reactivity,,,
Single leg pogos,🏎️ Plyometrics,Twitchiness + Reactivity,Jump up and down on a single leg,,
Lateral cone jumps,🏎️ Plyometrics,Coordination + reactivity,Jump back and forth sideways on a cone,,
Reactive Hurdles,🏎️ Plyometrics,Coordination + reactivity,Jump combos with hurdles,https://www.youtube.com/shorts/C1EYA8fNj2k,
,,,,,
Depth jumps,🏎️ Plyometrics,Elasticity + CNS,"Drop from a box and jump up
Find box that gives max height
Single leg is harder
Single leg then a jump move is hardest",,Elasticity + CNS
Drop jumps,🏎️ Plyometrics,Elasticity + CNS,"Drop from a box and absorb impact
Trains body to absorb impact & redirect
Single leg is harder",,Elasticity + CNS
,,,,,
📙 Resources,,,,,Resource Summary
,,,,,
Garage Strength - 5 exposive upper,Top 5 Explosive Upper Body Strength Exercises For Athletes - YouTube,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,"Vertical step-ups
Bulgarian split-squat explode up
Single-leg depth drop"
