,,,,,
🥇 Principles,1-liner,,,,
🦍 Absolute strength,Build your baseline strength,,,,
🏋🏻 Olympic lift,Build power generation,,,,
🏎️ Plyometrics,Fast twitch muscle fibers + CNS,,,,
🛡️Bullet proof,Address muscle weaknesses,,,,
🧘🏻 Flexibility,Strength in range of motion,,,,
,,,,,
,,,,,
,,,,,
🔨 Exercise List,,,,,
,Category,What it works,Notes,Links,
🦍 Absolute strength,,,,,
Back Squat,🦍 Absolute strength,Compound ,,,
Front Squat,🦍 Absolute strength,Compound ,,,
Trap bar - deadlift,🦍 Absolute strength,Compound,,,
Bulgarian split squat,🦍 Absolute strength,Compound - single leg,,,
ATG split squat,🦍 Absolute strength,Compound - single leg,,"https://www.youtube.com/watch?v=6pEpIc9MYuk
https://www.youtube.com/watch?v=zp7l5JWXlGc",
VMO Squat,🦍 Absolute strength,,,,
,,,,,
🦾 Accessory,,,,,
Nordics,🦾 Accessory,Hamstrings,,"https://www.youtube.com/watch?v=jIngqODw8x4
https://www.youtube.com/watch?v=6NCN6kOagfY&t=70s",
RDL,🦾 Accessory,Compound - glute + hamstrings,,,
Quad Extension,🦾 Accessory,Quads,,,
Hip Thrusts,🦾 Accessory,Glutes,,,
Tibalisis Raise,🦾 Accessory,Tibs,,,
Calf Raise,🦾 Accessory,Calfs,,,
,,,,,
🏋🏻 Olympic lift,,,,,
Power snatch + variations,🏋🏻 Olympic lift,,,,
Power clean + variations,🏋🏻 Olympic lift,,,,
,,,,,
🛡️Bullet proof,,,,,
Reverse Sled,🛡️Bullet proof,Knee health,,https://www.youtube.com/watch?v=-xmtgMrZrqU (best video),Knee health
Poliquin Step up,🛡️Bullet proof,Knee health,,,Knee health
Sissy Squat,🛡️Bullet proof,Knee health,,,Knee health
Pistol squat ,🛡️Bullet proof,,"Slow eccentric, heavy resistance on down ",,
Cossack squat,🛡️Bullet proof,Mobility ,,,
,,,,,
🏎️ Plyometrics,,,,,
Pogo jumps,🏎️ Plyometrics,Low-intensity coordination,,,
Jump rope,🏎️ Plyometrics,Low-intensity coordination,,,
,,,,,
Max intent jumps,🏎️ Plyometrics,Max power,Run and jump for max height,,
Weighted squat jump,🏎️ Plyometrics,Max power,Barbell + dumbbell,,
Broad jumps,🏎️ Plyometrics,Max power,Jump for max distance,,
Box jump,🏎️ Plyometrics,Max power,Box just stimulates the height,,
Step-up jump,🏎️ Plyometrics,Max power,Step up on a box then jump,,
Seated jump,🏎️ Plyometrics,Max power,"Start sitting, then jump up",,
"Leg elevated, single leg",🏎️ Plyometrics,Max power,"Elevate leg on TRX / bench, single leg jump",,
Sprints,🏎️ Plyometrics,Max power,,,
,,,,,
Single leg skips / bounds,🏎️ Plyometrics,Twitchiness + Reactivity,Jog and layup,,
Rhythmic jumps,🏎️ Plyometrics,Twitchiness + Reactivity,Single legs & double legs,,
Single leg pogos,🏎️ Plyometrics,Twitchiness + Reactivity,Jump up and down on a single leg,,
Lateral cone jumps,🏎️ Plyometrics,Coordination + reactivity,Jump back and forth sideways on a cone,,
Reactive Hurdles,🏎️ Plyometrics,Coordination + reactivity,Jump combos with hurdles,https://www.youtube.com/shorts/C1EYA8fNj2k,
,,,,,
Depth jumps + absorb force,🏎️ Plyometrics,Elasticity + CNS,"Drop from a box and jump up
Find box that gives max height
Single leg is harder
Single leg then a jump move is hardest",,Elasticity + CNS
Drop jumps,🏎️ Plyometrics,Elasticity + CNS,"Drop from a box and absorb impact
Trains body to absorb impact & redirect
Single leg is harder",,Elasticity + CNS
,,,,,
📙 Resources,,,,,
15 single leg plyos,https://blog.overtimeathletes.com/top-15-single-leg-plyometrics/,,,,
5 single-leg plyos,https://www.youtube.com/watch?v=FsoGMpq2Vu0,,,,
Basketball plyo routine,https://blog.overtimeathletes.com/explosive-basketball-plyometric-routine/,,,,
Football plyo routine,https://blog.overtimeathletes.com/inside-a-pro-football-agility-training-session/,,,,
Plyo workout,https://blog.overtimeathletes.com/plyometric-workout-for-lower-body-power/,,,,
Why depth jumps work,https://simplifaster.com/articles/deconstructing-reconstructing-depth-jump-speed-power-performance/,,,,
,,,,,
ATG - squat variations,https://www.youtube.com/watch?v=no0y7YMvXgU,,,,
Garage Strength - plyos,Top 10 Plyometric Exercises For Athletes - YouTube,,,,
Vertical Jump bible,The_Vertical_Jump_Development_Bible.pdf,,,,
Strength + speed concepts,https://www.youtube.com/watch?v=zHCcQLriKSQ,,,,
,,,,,
ATG Mobility Standards,The 7 ATG Mobility Standards Checklist - YouTube,,,,
Hip drive in clean,https://www.instagram.com/reel/DAkr6V4NfUA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,
